quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.4%,,2,,0.10,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,
,,,,,,,,
,,,,,,,,
,,0.0%,,2,,0.00,,0
,,0.0%,,,,,,
,,,,2,,0.00,,
,,0.0%,,,,,,
,,,,,,,,0
,,,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
90,90,0.0%,90,2,90,0.00,90,0
,,0.0%,,4,,0.00,,
,,0.0%,,,,,,0
,,,,2,,0.00,,
,,0.0%,,,,,,0
,,,,2,,0.00,,
,,0.0%,,,,,,0
,,,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,,,
100,100,,100,,100,,100,
,,,,,,,,
,,,,,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,
,,0.0%,,4,,0.00,,
,,,,,,,,
,,,,,,,,0
,,,,,,,,
110,110,0.0%,110,2,110,0.00,110,0
,,,,,,,,0
,,0.0%,,4,,0.00,,
,,0.0%,,2,,0.00,,0
,,0.0%,,,,,,0
,,,,4,,0.00,,0
,,0.0%,,4,,,,
,,0.0%,,,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,6,,0.00,,0
120,120,0.0%,120,6,120,0.00,120,0
,,0.0%,,12,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,4,,0.01,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,8,,0.00,,0
130,130,0.0%,130,2,130,0.00,130,0
