quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,1,,0.00,,12.43,,900000
,,1,,0.00,,3.01,,900000
,,1,,0.00,,2.36,,900000
,,1,,0.00,,11.58,,900000
,,2,,0.00,,8.45,,1800000
,,2,,0.00,,15.33,,2000000
,,2,,0.00,,12.85,,2100000
,,1,,0.00,,2.74,,1100000
,,1,,0.00,,2.42,,1100000
10,10,1,10,0.00,10,14.33,10,1100000
,,1,,0.00,,3.73,,1100000
,,1,,0.00,,10.90,,1100000
,,3,,0.00,,20.85,,3600000
,,2,,0.01,,20.71,,2700000
,,1,,0.00,,4.71,,1300000
,,1,,0.00,,15.48,,1400000
,,2,,0.00,,24.25,,2800000
,,2,,0.01,,9.49,,2800000
,,3,,0.00,,31.60,,4600000
20,20,2,20,0.00,20,28.28,20,3300000
,,2,,0.00,,23.77,,3300000
,,3,,0.02,,43.60,,5000000
,,6,,0.02,,60.13,,10400000
,,4,,0.01,,59.04,,6700000
,,6,,0.03,,64.23,,10600000
,,5,,0.02,,79.24,,9400000
,,6,,0.02,,57.10,,12100000
,,4,,0.02,,33.81,,8700000
,,4,,0.01,,43.99,,8800000
30,30,3,30,0.00,30,26.21,30,6400000
,,2,,0.00,,19.72,,4200000
,,3,,0.01,,29.74,,6300000
,,3,,0.01,,30.16,,5800000
,,2,,0.00,,16.62,,3700000
,,1,,0.00,,4.18,,1800000
,,3,,0.01,,22.39,,5600000
,,2,,0.00,,16.52,,3700000
,,1,,0.00,,12.32,,1900000
,,2,,0.00,,19.73,,4000000
40,40,2,40,0.00,40,16.71,40,3900000
,,3,,0.01,,34.77,,6100000
,,2,,0.00,,16.14,,4200000
,,2,,0.00,,24.35,,4099999.9999999995
,,2,,0.01,,23.64,,4200000
,,2,,0.00,,17.82,,4400000
,,2,,0.01,,20.29,,4700000
,,2,,0.00,,21.57,,4800000
,,2,,0.00,,29.44,,4900000
,,2,,0.00,,16.81,,5000000
50,50,1,50,0.00,50,12.12,50,2400000
,,3,,0.00,,31.61,,7300000
,,2,,0.00,,28.66,,4900000
,,3,,0.01,,33.33,,7600000
,,3,,0.01,,31.92,,8100000
,,4,,0.01,,48.97,,11600000
,,3,,0.01,,35.99,,9100000
,,3,,0.00,,41.57,,9400000
,,4,,0.01,,61.92,,13400000
,,4,,0.01,,58.49,,13700000
60,60,4,60,0.01,60,61.89,60,14100000
,,6,,0.02,,82.95,,22200000
