quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,1,,0.00,,2.26,,0
,,1,,0.00,,1.59,,0
,,1,,0.00,,1.61,,0
,,3,,0.00,,6.98,,0
,,1,,0.00,,2.08,,0
,,1,,0.00,,1.36,,0
,,1,,0.00,,1.30,,0
,,1,,0.00,,2.05,,40
,,1,,0.00,,1.44,,0
10,10,1,10,0.00,10,1.23,10,0
,,1,,0.00,,2.02,,40
,,2,,0.00,,3.23,,0
,,1,,0.00,,1.91,,0
,,1,,0.00,,1.32,,0
,,1,,0.00,,1.24,,0
,,1,,0.00,,2.07,,0
,,1,,0.00,,1.19,,0
,,1,,0.00,,1.48,,0
,,1,,0.00,,1.81,,0
20,20,1,20,0.00,20,2.49,20,0
,,1,,0.00,,1.39,,3600
,,1,,0.00,,2.28,,3600
,,1,,0.00,,1.30,,3600
,,1,,0.00,,1.38,,17800
,,1,,0.00,,2.19,,17800
,,1,,0.00,,1.34,,32000
,,1,,0.00,,1.41,,32000
,,1,,0.00,,1.88,,32000
,,2,,0.01,,4.32,,64000
30,30,1,30,0.00,30,2.06,30,32000
,,2,,0.01,,6.75,,78200
,,1,,0.00,,2.15,,46200
,,1,,0.00,,1.37,,67500
,,1,,0.00,,1.56,,67500
,,1,,0.00,,2.09,,88900
,,1,,0.00,,1.59,,99500
,,2,,0.00,,6.75,,241700
,,1,,0.00,,1.46,,149300
,,1,,0.00,,1.46,,184800
40,40,1,40,0.00,40,2.15,40,192000
,,1,,0.00,,1.52,,199100
,,1,,0.00,,1.52,,199100
,,1,,0.00,,2.37,,220400
,,1,,0.00,,1.48,,234600
,,1,,0.00,,2.58,,277300
,,1,,0.00,,2.18,,298600
,,1,,0.00,,1.80,,327000
,,1,,0.00,,1.81,,334100
,,1,,0.00,,2.22,,348400
50,50,1,50,0.00,50,1.76,50,398100
,,1,,0.00,,1.85,,440800
,,1,,0.00,,2.37,,462100
,,1,,0.00,,1.96,,447900
,,2,,0.01,,4.20,,900000
,,1,,0.00,,1.87,,501200
,,1,,0.00,,14.49,,500000
,,2,,0.00,,5.50,,1100000
,,1,,0.02,,2.59,,600000
,,1,,0.00,,2.52,,600000
60,60,1,60,0.00,60,2.04,60,600000
,,1,,0.00,,2.15,,600000
,,2,,0.00,,4.47,,1200000
,,1,,0.00,,2.19,,600000
,,1,,0.00,,2.48,,600000
,,1,,0.00,,10.63,,600000
,,1,,0.00,,2.29,,700000
,,1,,0.00,,2.79,,700000
,,1,,0.00,,2.15,,700000
,,1,,0.00,,2.22,,700000
70,70,3,70,0.01,70,9.24,70,2200000
,,1,,0.00,,11.29,,800000
,,1,,0.00,,2.10,,800000
,,1,,0.00,,2.35,,800000
,,1,,0.00,,2.84,,800000
,,1,,0.00,,2.70,,800000
,,1,,0.00,,2.41,,800000
,,1,,0.00,,2.97,,800000
,,2,,0.01,,14.54,,1700000
,,1,,0.00,,3.68,,800000
80,80,1,80,0.00,80,2.48,80,900000
,,1,,0.00,,2.59,,900000
,,1,,0.00,,3.01,,900000
,,1,,0.00,,2.54,,900000
,,1,,0.00,,5.03,,900000
,,2,,0.00,,15.11,,1800000
,,3,,0.01,,10.94,,2900000
,,1,,0.00,,3.60,,1000000
,,1,,0.00,,3.82,,1100000
,,1,,0.00,,11.32,,1100000
90,90,1,90,0.00,90,3.41,90,1100000
,,1,,0.00,,3.64,,1100000
,,1,,0.00,,3.49,,1100000
,,1,,0.00,,3.38,,1100000
,,2,,0.00,,15.97,,2400000
,,1,,0.00,,3.11,,1200000
,,1,,0.00,,3.35,,1300000
,,1,,0.00,,3.11,,1300000
,,1,,0.00,,3.14,,1300000
,,1,,0.00,,11.86,,1400000
100,100,1,100,0.00,100,3.28,100,1400000
,,1,,0.00,,3.27,,1400000
,,2,,0.00,,14.70,,2800000
,,2,,0.00,,7.82,,3100000
,,1,,0.00,,4.01,,1600000
,,1,,0.00,,4.09,,1600000
,,1,,0.00,,11.62,,1700000
,,1,,0.00,,4.08,,1600000
,,1,,0.00,,3.91,,1600000
,,1,,0.00,,17.18,,1700000
110,110,3,110,0.00,110,10.43,110,5000000
,,1,,0.00,,13.54,,1700000
,,1,,0.00,,3.77,,1700000
,,1,,0.00,,4.06,,1800000
,,1,,0.00,,3.61,,1800000
,,1,,0.00,,12.89,,1700000
,,2,,0.00,,8.20,,3300000
,,2,,0.00,,7.91,,3300000
,,1,,0.00,,11.53,,1800000
,,1,,0.00,,3.71,,1700000
120,120,1,120,0.00,120,3.94,120,1700000
,,1,,0.00,,12.38,,1800000
,,1,,0.00,,3.72,,1800000
,,1,,0.00,,4.08,,1800000
,,1,,0.00,,3.93,,1800000
,,3,,0.01,,20.04,,5600000
,,1,,0.00,,12.94,,1900000
,,1,,0.00,,5.82,,1900000
,,1,,0.00,,4.18,,2000000
,,1,,0.00,,4.06,,2000000
130,130,1,130,0.00,130,14.10,130,2100000
,,2,,0.00,,10.34,,4099999.9999999995
,,3,,0.01,,25.45,,6500000
,,2,,0.00,,20.27,,4300000
,,2,,0.00,,8.85,,4400000
,,1,,0.00,,13.66,,2200000
,,2,,0.00,,9.05,,4200000
,,2,,0.00,,17.55,,4200000
,,2,,0.01,,17.75,,4200000
,,1,,0.00,,4.18,,2100000
140,140,1,140,0.00,140,4.47,140,2100000
,,1,,0.00,,13.83,,2000000
,,2,,0.00,,8.62,,3800000
,,2,,0.00,,17.54,,3700000
,,2,,0.00,,8.97,,3700000
,,1,,0.01,,13.73,,1900000
,,1,,0.00,,4.14,,1800000
,,1,,0.00,,4.08,,1900000
,,1,,0.00,,4.02,,1900000
,,1,,0.00,,12.50,,1900000
150,150,3,150,0.00,150,22.57,150,5900000
,,2,,0.01,,10.33,,3900000
,,1,,0.00,,4.59,,2000000
,,1,,0.00,,13.08,,2100000
,,2,,0.00,,10.03,,4200000
,,2,,0.00,,16.52,,4099999.9999999995
,,2,,0.00,,17.89,,4200000
,,1,,0.00,,4.81,,2100000
,,1,,0.00,,4.65,,2300000
,,1,,0.00,,13.98,,2300000
160,160,2,160,0.00,160,9.89,160,4700000
,,2,,0.00,,18.59,,4800000
,,2,,0.00,,18.64,,4900000
,,1,,0.00,,4.91,,2500000
,,1,,0.00,,14.68,,2400000
,,2,,0.00,,9.80,,4800000
,,1,,0.00,,16.18,,2500000
,,3,,0.01,,23.41,,7400000
,,2,,0.00,,10.29,,5100000
,,1,,0.00,,13.48,,2700000
170,170,1,170,0.00,170,5.10,170,2700000
,,2,,0.00,,22.62,,5500000
,,3,,0.01,,30.58,,8800000
,,2,,0.00,,19.72,,6100000
,,2,,0.00,,21.73,,6200000
,,2,,0.00,,19.90,,6300000
,,3,,0.01,,30.17,,10000000
,,2,,0.00,,22.58,,6800000
,,2,,0.00,,21.03,,6800000
,,2,,0.01,,19.97,,6900000
180,180,2,180,0.00,180,28.66,180,7100000
,,3,,0.01,,28.41,,10800000
,,2,,0.00,,22.79,,7400000
,,2,,0.00,,24.51,,7600000
,,3,,0.01,,44.50,,11500000
,,5,,0.01,,52.92,,19700000
,,3,,0.01,,38.01,,11400000
,,3,,0.01,,28.31,,11100000
,,4,,0.01,,33.37,,13600000
,,3,,0.01,,31.91,,9700000
190,190,2,190,0.00,190,21.33,190,6400000
,,2,,0.00,,21.27,,6200000
,,3,,0.01,,29.40,,9000000
,,2,,0.00,,20.80,,5800000
,,3,,0.01,,31.20,,8600000
,,3,,0.01,,23.98,,8700000
,,3,,0.01,,26.35,,8400000
,,2,,0.00,,19.93,,5500000
,,2,,0.00,,19.66,,5400000
,,1,,0.00,,5.01,,2600000
200,200,1,200,0.00,200,14.29,200,2600000
,,3,,0.01,,26.25,,7400000
,,2,,0.00,,20.01,,4900000
,,2,,0.00,,9.22,,4700000
,,1,,0.00,,14.95,,2400000
,,1,,0.00,,4.88,,2300000
,,1,,0.00,,4.98,,2400000
,,2,,0.00,,18.54,,4600000
,,2,,0.00,,22.11,,4400000
,,2,,0.00,,9.53,,4400000
210,210,1,210,0.00,210,5.83,210,2200000
,,1,,0.00,,16.73,,2200000
,,2,,0.00,,10.28,,4400000
,,3,,0.00,,23.60,,6600000
,,2,,0.00,,9.28,,4400000
,,1,,0.00,,5.23,,2200000
,,1,,0.00,,13.07,,2200000
,,1,,0.00,,4.54,,2200000
,,1,,0.00,,4.76,,2100000
,,2,,0.00,,18.85,,4099999.9999999995
220,220,2,220,0.00,220,16.77,220,4099999.9999999995
,,1,,0.00,,4.62,,2000000
,,1,,0.00,,4.54,,2000000
,,1,,0.00,,12.85,,2000000
,,2,,0.00,,8.85,,3900000
,,1,,0.00,,5.43,,1900000
,,2,,0.00,,17.63,,4000000
,,2,,0.00,,17.56,,4000000
,,1,,0.00,,4.01,,1900000
,,1,,0.00,,4.09,,2000000
230,230,1,230,0.00,230,4.17,230,2000000
,,1,,0.00,,13.36,,1900000
,,2,,0.01,,13.34,,3800000
,,3,,0.00,,20.20,,5500000
,,2,,0.01,,17.42,,3600000
,,1,,0.00,,4.17,,1800000
,,1,,0.00,,4.16,,1800000
,,1,,0.00,,4.31,,1900000
,,1,,0.00,,12.08,,1900000
,,1,,0.00,,4.50,,1800000
240,240,2,240,0.00,240,16.78,240,3600000
,,2,,0.00,,7.79,,3500000
,,1,,0.00,,4.37,,1700000
,,1,,0.00,,11.94,,1700000
,,1,,0.00,,4.32,,1700000
,,1,,0.00,,4.13,,1700000
,,1,,0.00,,4.06,,1700000
,,1,,0.00,,11.53,,1700000
,,3,,0.00,,21.38,,5000000
,,1,,0.00,,4.21,,1700000
250,250,1,250,0.00,250,4.00,250,1700000
,,1,,0.00,,4.20,,1600000
,,1,,0.00,,3.99,,1600000
,,1,,0.00,,12.97,,1500000
,,3,,0.01,,14.59,,4400000
,,2,,0.01,,16.39,,2900000
,,2,,0.01,,7.36,,2900000
,,1,,0.00,,13.33,,1400000
,,1,,0.00,,3.92,,1400000
,,1,,0.00,,3.63,,1400000
260,260,1,260,0.00,260,3.70,260,1400000
,,1,,0.00,,3.72,,1400000
,,2,,0.00,,17.57,,2800000
,,2,,0.00,,7.64,,2800000
,,1,,0.00,,4.32,,1400000
,,1,,0.00,,12.44,,1400000
,,1,,0.00,,3.85,,1400000
,,1,,0.00,,3.63,,1400000
,,1,,0.00,,3.73,,1300000
,,1,,0.00,,3.84,,1300000
270,270,3,270,0.01,270,11.51,270,4000000
,,1,,0.00,,4.20,,1300000
,,1,,0.00,,13.18,,1300000
,,1,,0.00,,3.66,,1400000
,,1,,0.00,,4.44,,1400000
,,1,,0.00,,4.67,,1300000
,,1,,0.00,,3.57,,1300000
,,3,,0.01,,24.24,,3900000
,,2,,0.00,,7.65,,2600000
,,1,,0.00,,12.91,,1300000
280,280,1,280,0.00,280,3.53,280,1300000
,,1,,0.00,,3.49,,1300000
,,1,,0.00,,3.59,,1300000
,,1,,0.00,,3.53,,1300000
,,2,,0.00,,17.39,,2600000
,,1,,0.00,,3.72,,1200000
,,1,,0.00,,3.42,,1300000
,,1,,0.00,,3.59,,1300000
,,1,,0.00,,3.37,,1300000
,,1,,0.00,,12.69,,1300000
290,290,2,290,0.00,290,7.24,290,2600000
,,2,,0.00,,17.75,,2500000
,,1,,0.00,,3.64,,1300000
,,1,,0.00,,3.63,,1300000
,,1,,0.00,,3.44,,1300000
,,1,,0.00,,3.56,,1300000
,,1,,0.00,,3.56,,1200000
,,1,,0.00,,11.51,,1200000
,,2,,0.00,,7.21,,2400000
,,2,,0.00,,9.67,,2400000
300,300,2,300,0.00,300,18.54,300,2400000
END,END,END,END,END,END,END,END,END
